,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Criminal Trespass/Burglary,Crime Index
0,24 PARGANAS NORTH,2465,1542,1056,1998,0,1998,3739,2648,1091,268,1649,785,387.0,23336,6209,17127,5995,1388,2404,153,169,1909,718,2226,55,19162,8,188,64593,136204,11.0,0.006591606436325
1,24 PARGANAS SOUTH,2340,205,564,2410,0,2410,2606,2517,89,212,1499,433,556.0,19652,3900,15752,10807,172,1863,45,150,2200,691,1650,21,20650,3,482,67134,136479,134.0,0.0059586896599779
2,A AND N ISLANDS,15,19,1,3,0,3,12,9,3,5,0,9,90.0,112,8,104,17,7,23,1,11,99,1,21,2,18,0,4,337,807,0.0,3.628444547784226e-05
3,ADILABAD,1282,941,164,733,0,733,819,617,202,74,0,251,2519.0,4341,841,3500,1074,347,2186,34,425,18786,200,1982,1380,4590,0,3969,21969,68340,274.0,0.0017872977450661
4,AGAR,19,17,0,24,0,24,18,8,10,1,0,7,0.0,76,46,30,17,2,14,0,12,281,1,41,1,30,0,63,552,1209,33.0,2.936952809164348e-05
5,AGRA,1742,2016,478,571,0,571,2965,2271,694,212,22,1424,3063.0,23740,16678,7062,3714,1848,3750,272,126,5680,930,1517,955,4402,0,5047,22469,87285,342.0,0.0065337666147709
6,AHMEDABAD COMMR.,1300,846,103,622,0,622,2759,2022,737,487,34,5874,9392.0,61104,32250,28854,2585,3105,3428,170,103,17781,103,1000,233,13426,0,2352,111782,239263,674.0,0.0138706613373165
7,AHMEDABAD RURAL,452,242,23,102,0,102,533,492,41,156,5,384,1318.0,3811,1173,2638,757,659,187,51,194,4361,12,286,1,1384,0,3870,22867,41749,94.0,0.0011296093519981
8,AHMEDNAGAR,1322,886,34,758,0,758,595,408,187,521,127,1894,5248.0,16008,5031,10977,5326,541,2274,89,557,9156,101,1521,62,5968,0,7591,18565,79696,552.0,0.004508627874026
9,AHWA-DANG,84,14,0,33,0,33,12,10,2,5,0,9,51.0,114,24,90,54,24,23,9,18,278,1,36,2,91,0,252,1366,2485,9.0,5.610698985973147e-05
10,AIZAWL,150,135,35,382,0,382,40,2,38,8,0,53,2316.0,5527,365,5162,16,153,498,76,133,467,0,399,2,41,0,197,2707,13530,195.0,0.0012844582115297
11,AJMER,587,692,69,616,0,616,1463,1267,196,33,19,393,3507.0,9909,4704,5205,595,301,8508,47,200,4452,189,1189,9,6352,0,5416,41534,86367,287.0,0.0032864367377542
12,AKOLA,623,623,23,345,0,345,343,305,38,130,18,737,3351.0,11493,1662,9831,1665,255,1139,108,452,10528,78,1309,392,1889,0,1632,15989,53320,198.0,0.0027702694968114
13,ALAPUZHA,269,371,53,345,0,345,199,142,57,70,2,435,2405.0,3246,1280,1966,5629,280,2733,29,280,17252,17,2479,252,3007,0,22,65449,104986,162.0,0.0015878744157009
14,ALIGARH,2217,2531,380,735,0,735,2533,2013,520,198,71,1396,1875.0,12362,6322,6040,3209,1337,3251,52,402,4034,712,1294,361,3209,0,3464,15977,61915,315.0,0.0041668924598874
15,ALIRAJPUR,367,239,3,174,0,174,81,75,6,9,1,52,191.0,423,187,236,101,7,24,0,67,1634,3,150,2,47,0,432,3586,7624,31.0,0.000230131863766
16,ALLAHABAD,1775,1574,477,532,0,532,1731,1402,329,88,13,735,2861.0,10803,6114,4689,1964,1195,2831,167,194,5482,791,880,470,2638,0,4261,23587,65405,356.0,0.0034966837014524
17,ALMORA,147,90,19,57,0,57,71,56,15,14,0,100,216.0,440,26,414,97,40,141,11,31,357,72,64,23,92,0,163,702,2956,9.0,0.0001733520888734
18,ALWAR,1134,1060,44,1215,0,1215,1961,1404,557,21,97,569,2563.0,21628,13040,8588,963,369,9244,42,369,30791,524,1767,2,5488,0,5168,30722,116055,314.0,0.0058301089536306
19,AMBALA,350,219,33,237,0,237,310,252,58,38,58,177,2959.0,4373,2270,2103,24,397,1030,17,84,2518,109,235,188,1806,0,30,11279,26471,0.0,0.0013274278429191
20,AMBALA RURAL,30,20,2,28,0,28,95,77,18,5,4,16,118.0,404,191,213,0,10,92,1,7,133,10,44,4,152,0,124,801,2192,92.0,0.000122010386173
21,AMBALA URBAN,32,31,5,45,0,45,234,131,103,7,1,34,362.0,1038,628,410,4,117,178,1,11,200,6,71,32,329,0,123,1342,4597,394.0,0.0003030650432029
22,AMBEDKAR NAGAR,462,430,145,182,0,182,593,541,52,20,2,226,508.0,1433,412,1021,420,292,659,12,56,2027,168,189,111,923,0,678,4048,13607,23.0,0.0006565528632076
23,AMETHI,31,61,12,38,0,38,116,110,6,5,0,35,0.0,142,65,77,50,19,27,1,14,211,16,83,0,35,0,137,572,1666,61.0,7.532566865117902e-05
24,AMRAVATI COMMR.,311,367,22,262,0,262,252,214,38,54,45,577,2850.0,10348,2130,8218,1067,267,705,58,168,5265,38,584,260,947,0,903,10047,35602,205.0,0.002370008348573
25,AMRAVATI RURAL,829,471,37,720,0,720,331,303,28,109,17,410,3294.0,11731,881,10850,1338,191,548,22,783,11736,64,1882,429,1676,0,2234,14122,53196,222.0,0.0027927963088374
26,AMRELI,325,141,19,107,0,107,649,615,34,26,1,194,1305.0,2207,714,1493,549,396,155,121,128,3774,9,288,32,1671,0,1381,16424,29980,78.0,0.0008071615360933
27,AMRITSAR,470,442,50,135,0,135,349,277,72,16,92,113,1090.0,2525,1222,1303,0,211,2049,61,33,1906,53,129,23,641,0,987,4503,15878,0.0,0.0009033599501532
28,AMRITSAR RURAL,224,243,14,102,0,102,213,155,58,6,30,29,275.0,701,138,563,0,45,662,27,30,946,24,105,9,222,0,647,1408,6058,96.0,0.0003052606197246
29,AMROHA,65,80,9,23,0,23,113,92,21,3,2,38,0.0,279,112,167,34,35,117,2,0,117,16,57,0,171,0,190,995,2401,55.0,0.0001066019679822
30,ANAND,368,167,23,129,0,129,577,519,58,105,4,177,1611.0,5097,2186,2911,582,841,383,75,214,4927,2,320,33,2184,0,2812,23460,44189,98.0,0.0013886250258808
31,ANANTAPUR,2078,1397,54,294,0,294,949,638,311,142,1,267,2536.0,6676,1890,4786,1349,245,1605,119,473,20219,197,2363,665,1806,0,5631,17495,66840,279.0,0.0022580175365718
