,STATE/UT,YEAR,RESIDENTIAL PREMISES - Dacoity,RESIDENTIAL PREMISES - Robbery,RESIDENTIAL PREMISES - Burglary,RESIDENTIAL PREMISES - Theft,HIGHWAYS - Dacoity,HIGHWAYS - Robbery,HIGHWAYS - Burglary,HIGHWAYS - Theft,RIVER and SEA - Dacoity,RIVER and SEA - Robbery,RIVER and SEA - Burglary,RIVER and SEA - Theft,RAILWAYS - Dacoity,RAILWAYS - Robbery,RAILWAYS - Burglary,RAILWAYS - Theft,BANKS - Dacoity,BANKS - Robbery,BANKS - Burglary,BANKS - Theft,COMMERCIAL ESTABLISHMENTS - Dacoity,COMMERCIAL ESTABLISHMENTS - Robbery,COMMERCIAL ESTABLISHMENTS - Burglary,COMMERCIAL ESTABLISHMENTS - Theft,OTHER PLACES - Dacoity,OTHER PLACES - Robbery,OTHER PLACES - Burglary,OTHER PLACES - Theft,TOTAL - Dacoity,TOTAL - Robbery,TOTAL - Burglary,TOTAL - Theft
0,ANDHRA PRADESH,2001.0,100.0,177.0,5158.0,4257.0,57.0,172.0,31.0,74.0,2.0,11.0,101.0,110.0,8.0,19.0,6.0,943.0,0.0,2.0,21.0,16.0,10.0,16.0,1041.0,2502.0,37.0,232.0,862.0,8849.0,214.0,629.0,7220.0,16751
1,ARUNACHAL PRADESH,2001.0,9.0,26.0,99.0,131.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,84.0,54.0,8.0,40.0,65.0,249.0,22.0,84.0,248.0,443
2,ASSAM,2001.0,381.0,191.0,1695.0,2901.0,46.0,136.0,7.0,87.0,1.0,0.0,0.0,8.0,4.0,5.0,3.0,39.0,1.0,11.0,5.0,23.0,22.0,83.0,442.0,967.0,77.0,261.0,271.0,1342.0,532.0,687.0,2423.0,5367
3,BIHAR,2001.0,818.0,326.0,2486.0,4741.0,162.0,826.0,0.0,257.0,1.0,0.0,0.0,0.0,50.0,52.0,0.0,1432.0,23.0,11.0,11.0,3.0,27.0,108.0,231.0,686.0,210.0,880.0,505.0,2582.0,1291.0,2203.0,3233.0,9701
4,CHHATTISGARH,2001.0,54.0,42.0,3336.0,1417.0,10.0,38.0,12.0,72.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,179.0,2.0,1.0,6.0,8.0,4.0,9.0,370.0,299.0,15.0,239.0,420.0,2835.0,87.0,338.0,4144.0,4812
5,GOA,2001.0,3.0,10.0,185.0,65.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,7.0,1.0,0.0,4.0,109.0,64.0,4.0,8.0,57.0,436.0,7.0,25.0,359.0,576
6,GUJARAT,2001.0,105.0,181.0,3217.0,3639.0,58.0,113.0,2.0,116.0,2.0,5.0,0.0,12.0,6.0,52.0,0.0,356.0,2.0,4.0,32.0,15.0,39.0,70.0,889.0,1343.0,115.0,566.0,1002.0,10353.0,327.0,991.0,5142.0,15834
7,HARYANA,2001.0,25.0,52.0,2072.0,1930.0,11.0,71.0,12.0,88.0,0.0,0.0,0.0,0.0,0.0,8.0,72.0,402.0,0.0,2.0,19.0,1.0,5.0,54.0,534.0,684.0,36.0,210.0,400.0,3012.0,77.0,397.0,3109.0,6117
8,HIMACHAL PRADESH,2001.0,0.0,2.0,328.0,55.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,75.0,1.0,1.0,3.0,235.0,45.0,3.0,19.0,206.0,488.0,4.0,28.0,844.0,600
9,JAMMU & KASHMIR,2001.0,11.0,65.0,879.0,447.0,0.0,3.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,0.0,1.0,20.0,235.0,193.0,8.0,70.0,220.0,1260.0,24.0,161.0,1345.0,1919
10,JHARKHAND,2001.0,339.0,175.0,1158.0,2377.0,209.0,337.0,0.0,110.0,0.0,0.0,0.0,0.0,13.0,17.0,0.0,187.0,4.0,3.0,1.0,37.0,16.0,11.0,15.0,380.0,55.0,104.0,92.0,736.0,636.0,647.0,1266.0,3827
11,KARNATAKA,2001.0,70.0,248.0,4194.0,4505.0,16.0,57.0,0.0,44.0,0.0,0.0,0.0,0.0,3.0,16.0,71.0,457.0,0.0,2.0,62.0,61.0,14.0,53.0,1026.0,1322.0,75.0,471.0,1041.0,6479.0,178.0,847.0,6394.0,12868
12,KERALA,2001.0,45.0,113.0,2409.0,1657.0,16.0,36.0,91.0,262.0,0.0,1.0,1.0,4.0,0.0,1.0,2.0,198.0,0.0,0.0,9.0,1.0,28.0,41.0,844.0,529.0,87.0,325.0,1118.0,2790.0,176.0,517.0,4474.0,5441
13,MADHYA PRADESH,2001.0,59.0,449.0,9551.0,8173.0,31.0,186.0,13.0,538.0,0.0,5.0,0.0,45.0,3.0,54.0,25.0,1106.0,4.0,2.0,52.0,7.0,11.0,81.0,1107.0,3117.0,58.0,987.0,2801.0,7277.0,166.0,1764.0,13549.0,20263
14,MAHARASHTRA,2001.0,162.0,444.0,9817.0,7470.0,76.0,296.0,0.0,326.0,0.0,1.0,0.0,9.0,8.0,57.0,69.0,3037.0,5.0,9.0,147.0,381.0,39.0,184.0,2697.0,3821.0,239.0,1248.0,2343.0,24822.0,529.0,2239.0,15073.0,39866
